top_n,embedding_index,source_csv_row,true_label,pred_label,outer_fold,max_logit_level_score,uncalibrated_confidence_clipped_score,platt_confidence,correct,top_prompt_id_for_pred_class,top_prompt_class,top_prompt_text
1,0,0,deep_water,deep_water,2,0.20013052225112915,0.20013052225112915,0.6172070449723496,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,1,1,deep_water,deep_water,1,0.22116966545581818,0.22116966545581818,0.5688529934703758,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,2,2,deep_water,deep_water,4,0.2447439432144165,0.2447439432144165,0.629356439,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,3,3,deep_water,emergent_vegetation,1,0.16849969327449799,0.16849969327449799,0.5614317272758601,0,45,emergent_vegetation,"emergent vegetation (sensor: both, environment: any, ablation: simple)"
1,4,4,deep_water,rocky_bed,4,0.1803167462348938,0.1803167462348938,0.6224375380349437,0,32,rocky_bed,"underwater rocks visible through clear water (sensor: both, environment: lake, ablation: hydrology)"
1,5,5,deep_water,deep_water,2,0.2207479178905487,0.2207479178905487,0.6195779976660599,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,6,6,deep_water,deep_water,1,0.2349243462085724,0.2349243462085724,0.5707861034412156,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,7,7,deep_water,deep_water,3,0.2591075003147125,0.2591075003147125,0.6177873580766707,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,8,8,deep_water,submerged_aquatic_vegetation,4,0.2113950550556183,0.2113950550556183,0.6257814938340603,0,70,submerged_aquatic_vegetation,"submerged vegetation near land vegetation (sensor: aerial, environment: coast, ablation: context)"
1,9,9,deep_water,deep_water,1,0.18877753615379333,0.18877753615379333,0.5642923433959206,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,10,10,deep_water,deep_water,3,0.1850975751876831,0.1850975751876831,0.6068573337456338,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,11,11,deep_water,deep_water,1,0.25063931941986084,0.25063931941986084,0.5729920734250706,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,12,12,deep_water,deep_water,5,0.19429878890514374,0.19429878890514374,0.5540467548773794,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,13,13,deep_water,deep_water,1,0.24160510301589966,0.24160510301589966,0.5717242553914864,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,14,14,deep_water,deep_water,5,0.2388482242822647,0.2388482242822647,0.5604662391663858,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,15,15,deep_water,deep_water,3,0.21435025334358215,0.21435025334358215,0.6111909358659005,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,16,16,deep_water,submerged_aquatic_vegetation,5,0.2067282497882843,0.2067282497882843,0.5558397236696708,0,70,submerged_aquatic_vegetation,"submerged vegetation near land vegetation (sensor: aerial, environment: coast, ablation: context)"
1,17,17,deep_water,deep_water,3,0.21438315510749817,0.21438315510749817,0.6111958003171204,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,18,18,deep_water,deep_water,5,0.20346446335315704,0.20346446335315704,0.5553690562977335,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,19,19,deep_water,deep_water,4,0.23543038964271545,0.23543038964271545,0.6283594479019196,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,20,20,deep_water,deep_water,2,0.25799423456192017,0.25799423456192017,0.6238467456247643,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,21,21,deep_water,deep_water,3,0.22257296741008759,0.22257296741008759,0.6124059544741073,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,22,22,deep_water,emergent_vegetation,4,0.22497788071632385,0.22497788071632385,0.627239233,0,45,emergent_vegetation,"emergent vegetation (sensor: both, environment: any, ablation: simple)"
1,23,23,deep_water,emergent_vegetation,3,0.21728351712226868,0.21728351712226868,0.6116245251502831,0,45,emergent_vegetation,"emergent vegetation (sensor: both, environment: any, ablation: simple)"
1,24,24,deep_water,deep_water,1,0.23698532581329346,0.23698532581329346,0.5710755731408422,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,25,25,deep_water,deep_water,5,0.21201911568641663,0.21201911568641663,0.5566025009274004,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,26,26,deep_water,deep_water,3,0.22719617187976837,0.22719617187976837,0.613088484,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,27,27,deep_water,deep_water,4,0.2430255115032196,0.2430255115032196,0.629172568,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,28,28,deep_water,deep_water,4,0.22078731656074524,0.22078731656074524,0.6267897373087884,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,29,29,deep_water,deep_water,2,0.2200070470571518,0.2200070470571518,0.6194928972072387,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,30,30,deep_water,deep_water,4,0.20133468508720398,0.20133468508720398,0.6247003176263023,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,31,31,deep_water,deep_water,3,0.19520413875579834,0.19520413875579834,0.608356499,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,32,32,deep_water,deep_water,2,0.2627736032009125,0.2627736032009125,0.6243931282281943,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,33,33,deep_water,deep_water,3,0.21184410154819489,0.21184410154819489,0.6108203419844687,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,34,34,deep_water,deep_water,1,0.2357904016971588,0.2357904016971588,0.5709077489941267,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,35,35,deep_water,deep_water,4,0.24368759989738464,0.24368759989738464,0.6292434151917279,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,36,36,deep_water,deep_water,1,0.21509383618831635,0.21509383618831635,0.5679984122372618,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,37,37,deep_water,deep_water,2,0.20748232305049896,0.20748232305049896,0.6180531315317966,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,38,38,deep_water,deep_water,1,0.18442821502685547,0.18442821502685547,0.5636791339182445,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
1,39,39,deep_water,deep_water,4,0.192646325,0.192646325,0.6237655875096387,1,2,deep_water,"a satellite image of deep blue water (sensor: aerial, environment: lake, ablation: hydrology)"
